"","Social.Status","Pair","Day","richness","shannon","simp.even","J","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"F_P5_D0","Dominant","C","Day_0",82,1.34912391948638,0.10953336220726,0.409341837699017,28,80.5,38.9720396666174,83.207100591716,5.7498982086816
"F_P5_D7","Dominant","C","Day_7",511,2.82457644808033,0.0249211473073584,0.499395427461006,287,452,43.2535053961435,423.515204893407,10.971846337204
"F_P5_D14","Dominant","C","Day_14",730,1.96162769796665,0.0209423155126842,0.365567735016919,215,705.875,128.106629815141,757.653291334315,17.2652404071579
"F_P5_IP","Dominant","C","Day_IP",437,1.48935655898414,0.019533554020662,0.295306567353955,156,427.105263157895,82.7408049178629,421.437277884948,10.9870986281557
"F_P6_D0","Subordinate","C","Day_0",96,1.28223336581408,0.0508596486311729,0.343056903569497,43,62.125,12.0442716733962,84.5005850746269,5.98046337252884
"F_P6_D7","Subordinate","C","Day_7",118,1.81150732475013,0.100722483710614,0.463061521426782,51,111,35.1334008580988,120.804526748971,6.19456196281919
"F_P6_D14","Subordinate","C","Day_14",108,1.76958024983766,0.0696305411611678,0.45711401832442,49,87.25,25.6028555427875,72.3599959314448,4.09566184554605
"F_P6_IP","Subordinate","C","Day_IP",225,0.966484220930376,0.0194050809706165,0.21932057993719,83,177.714285714286,37.3223240151445,176.408478390192,4.60486478958137
"F_P7_D0","Subordinate","D","Day_0",368,1.72837640790026,0.0212288456976693,0.333548553528994,179,305.25,33.9452347844556,327.198322372944,9.86901329623092
"F_P7_D7","Subordinate","D","Day_7",234,1.0897500519231,0.0122705610084252,0.216073407785377,156,342.576923076923,53.8016267829405,404.292319354839,14.1843455112925
"F_P7_D14","Subordinate","D","Day_14",153,1.65757564266137,0.0510710376625946,0.400077659097762,64,136.5,39.0664178946894,131.839244208822,6.17031149961958
"F_P7_IP","Subordinate","D","Day_IP",389,1.94812530445599,0.0180022076583895,0.372793674491637,187,272,24.4326377889951,332.020614808008,12.1247859638077
"F_P8_D0","Dominant","D","Day_0",177,1.22987825828583,0.0334587404405909,0.290469372215947,70,325,125.904035983455,327.496728650138,5.15289151160929
"F_P8_D7","Dominant","D","Day_7",376,2.59745837091115,0.0125789861288958,0.438247138487926,376,485.443037974684,24.997401951963,516.109876381029,12.0546169819648
"F_P8_D14","Dominant","D","Day_14",120,1.5139243121593,0.032558588277163,0.334007960431133,94,178,33.7598144281736,206.114863514033,10.2622734601812
"F_P8_IP","Dominant","D","Day_IP",303,1.42437756866755,0.0256462836213567,0.303617980253201,110,214.117647058824,37.9340505441414,246.485895772147,9.39952571377676
"F_P9_D0","Subordinate","E","Day_0",320,1.87251582443002,0.0336077084737022,0.385924184841615,129,299.526315789474,55.4442549940921,347.067663958787,12.1761335994542
"F_P9_D7","Subordinate","E","Day_7",426,1.27149856974175,0.0114376517205247,0.252110131560441,156,484.3125,104.259486124204,531.386898889754,15.4987710387941
"F_P9_D14","Subordinate","E","Day_14",71,1.44187921756211,0.0819842186680791,0.393573073646891,40,82.75,28.1029867275672,85.4349058539042,5.26437951771446
"F_P9_IP","Subordinate","E","Day_IP",376,1.50032678107597,0.0181521628677549,0.312306454760603,123,265.375,50.3974587826284,283.680737569158,10.2153111483653
"F_P10_D0","Dominant","E","Day_0",330,0.935996259943983,0.00571279430671915,0.169891139043733,248,346.088235294118,23.9194954881169,406.467245641262,12.3936026824209
"F_P10_D7","Dominant","E","Day_7",489,3.07915342119375,0.0273768979546667,0.520698715847089,371,564.710144927536,40.6257879339464,611.803376377459,14.254313828794
"F_P10_D14","Dominant","E","Day_14",136,1.32902705597105,0.0399232430891427,0.311782046578059,72,88.7142857142857,8.50620775931801,107.976079767401,6.14920561108081
"F_P10_IP","Dominant","E","Day_IP",580,1.61142232624606,0.0125708708655991,0.298263659357655,223,478,62.7503058037758,511.976228118142,13.2661578793672
"F_P11_D0","Subordinate","F","Day_0",215,1.86552416337827,0.0576608681261166,0.425721776453124,81,152.75,31.095604099222,144.255859375,5.62154083578096
"F_P11_D7","Subordinate","F","Day_7",92,0.455619189326626,0.0257851305139164,0.119002837336616,47,68.1111111111111,12.6032630876855,77.2443146015925,5.41524605320711
"F_P11_D14","Subordinate","F","Day_14",68,1.67059877255958,0.107965690349441,0.459260261943936,39,96,38.6834516669644,81.7745689655172,4.66081969806427
"F_P11_IP","Subordinate","F","Day_IP",637,2.01089645662957,0.011918369869317,0.353808082044596,295,533.904761904762,49.4985834415274,684.118956872323,18.2691744020352
"F_P12_D0","Dominant","F","Day_0",269,0.948530160345189,0.0126349744358015,0.199903841548179,116,197.357142857143,26.540644595291,319.69881310772,14.6123433115594
"F_P12_D7","Dominant","F","Day_7",104,0.780238179928179,0.0158978327838289,0.175624449204362,86,141,22.1048045502451,172.502227804901,8.96694026570813
"F_P12_D14","Dominant","F","Day_14",96,1.7615178306898,0.0759191954775613,0.441595606833023,55,97.1666666666667,24.7331581031586,83.7559657972881,4.36824262495387
"F_P12_IP","Dominant","F","Day_IP",205,1.21460931012142,0.0249664530671635,0.28220049739471,75,183.1,46.6381447686377,234.736172839506,8.7547191467809
